fips,county_name,state_abbr,state_name,pop_2025,land_sqmi,pop_density
01001,Autauga County,AL,Alabama,61920,594.455,104.162636364401
01003,Baldwin County,AL,Alabama,267761,1589.943,168.40918196438489
01005,Barbour County,AL,Alabama,24607,885.008,27.80426843599154
01007,Bibb County,AL,Alabama,22262,622.47,35.76397256092663
01009,Blount County,AL,Alabama,60156,644.905,93.27885502515875
01011,Bullock County,AL,Alabama,9780,622.815,15.7028973290624
01013,Butler County,AL,Alabama,18100,776.839,23.299551129642047
01015,Calhoun County,AL,Alabama,115834,605.894,191.17865501226288
01017,Chambers County,AL,Alabama,34253,596.559,57.41762340355271
01019,Cherokee County,AL,Alabama,26413,553.617,47.7098788512636
01021,Chilton County,AL,Alabama,47708,692.838,68.85880970731975
01023,Choctaw County,AL,Alabama,11904,913.479,13.031498261043767
01025,Clarke County,AL,Alabama,22014,1238.42,17.77587571260154
01027,Clay County,AL,Alabama,14207,603.962,23.523003102844218
01029,Cleburne County,AL,Alabama,15970,560.128,28.511340265082264
01031,Coffee County,AL,Alabama,56953,679.066,83.86960913961235
01033,Colbert County,AL,Alabama,59474,592.953,100.30137295873367
01035,Conecuh County,AL,Alabama,10899,850.279,12.818145573394144
01037,Coosa County,AL,Alabama,10161,650.909,15.61047704056942
01039,Covington County,AL,Alabama,37947,1030.573,36.82126351068774
01041,Crenshaw County,AL,Alabama,13175,608.865,21.63862268318921
01043,Cullman County,AL,Alabama,94009,734.749,127.9470948582441
01045,Dale County,AL,Alabama,49912,561.113,88.95177976628592
01047,Dallas County,AL,Alabama,35140,978.741,35.90326756516791
01049,DeKalb County,AL,Alabama,74085,777.077,95.33804243337534
01051,Elmore County,AL,Alabama,91577,618.52,148.0582681239087
01053,Escambia County,AL,Alabama,36665,945.408,38.78219773896561
01055,Etowah County,AL,Alabama,103886,535.143,194.12755095367032
01057,Fayette County,AL,Alabama,15872,627.684,25.286609185513733
01059,Franklin County,AL,Alabama,32449,633.959,51.184698064070396
01061,Geneva County,AL,Alabama,27554,574.485,47.96295812771439
01063,Greene County,AL,Alabama,7067,647.023,10.922331972742855
01065,Hale County,AL,Alabama,15194,643.991,23.59349742465345
01067,Henry County,AL,Alabama,18394,561.927,32.733789264441825
01069,Houston County,AL,Alabama,110318,579.828,190.25987016839477
01071,Jackson County,AL,Alabama,54281,1078.014,50.352778349817356
01073,Jefferson County,AL,Alabama,665742,1111.567,598.9220622778474
01075,Lamar County,AL,Alabama,13587,604.783,22.465909260015575
01077,Lauderdale County,AL,Alabama,97135,668.049,145.40101100368386
01079,Lawrence County,AL,Alabama,33843,690.685,48.99918197152103
01081,Lee County,AL,Alabama,189881,607.558,312.53147847612905
01083,Limestone County,AL,Alabama,122928,563.398,218.1903379138726
01085,Lowndes County,AL,Alabama,9359,716.085,13.06967748242178
01087,Macon County,AL,Alabama,18132,608.665,29.789785842787087
01089,Madison County,AL,Alabama,433516,801.619,540.8005548770675
01091,Marengo County,AL,Alabama,18311,976.898,18.74402445291115
01093,Marion County,AL,Alabama,29097,742.342,39.196219532237166
01095,Marshall County,AL,Alabama,103537,565.854,182.97476027385156
01097,Mobile County,AL,Alabama,411658,1229.382,334.849542290354
01099,Monroe County,AL,Alabama,18965,1025.669,18.490370675139832
01101,Montgomery County,AL,Alabama,225891,785.355,287.62916133468303
01103,Morgan County,AL,Alabama,126483,579.677,218.19565033630798
01105,Perry County,AL,Alabama,7425,719.67,10.317228729834508
01107,Pickens County,AL,Alabama,18221,881.387,20.6730981963655
01109,Pike County,AL,Alabama,33688,672.067,50.12595470392089
01111,Randolph County,AL,Alabama,23163,580.55,39.898372233227114
01113,Russell County,AL,Alabama,58898,641.182,91.85847388105093
